date,forecast,cases
2020-02-21,6.230304119526679,2.0
2020-02-22,8.99665239495843,2.0
2020-02-23,12.954089898251109,2.0
2020-02-24,18.61539343940813,2.0
2020-02-25,26.714030143354982,3.0
2020-02-26,38.29906965055337,9.0
2020-02-27,54.87084294201773,17.0
2020-02-28,78.57476623906607,35.0
2020-02-29,112.47811280943282,54.0
2020-03-01,160.9649157969987,82.0
2020-03-02,230.29877692349632,136.0
2020-03-03,329.42365235985767,192.0
2020-03-04,471.10054602356956,267.0
2020-03-05,673.5155097880644,349.0
2020-03-06,962.5431478301218,532.0
2020-03-07,1374.90999787065,765.0
2020-03-08,1962.5691166173467,1096.0
2020-03-09,2798.655483646992,1529.0
2020-03-10,3985.4034810390467,2302.0
2020-03-11,5664.290486564546,3277.0
2020-03-12,8028.266033240173,4430.0
2020-03-13,11334.958576069299,5961.0
2020-03-14,15917.818664189539,7644.0
2020-03-15,22188.843513486157,9789.0
2020-03-16,24860.76729085326,11496.0
2020-03-17,27755.083438335478,13999.0
2020-03-18,30882.377525557993,17694.0
2020-03-19,34252.19461052285,21742.0
2020-03-20,37872.70556197254,26311.0
2020-03-21,41750.35025706652,31757.0
2020-03-22,45889.469727313815,36623.0
2020-03-23,50291.93819424925,41269.0
2020-03-24,54956.81164888356,48962.0
2020-03-25,59880.010969974166,57523.0
2020-03-26,65054.05854784276,66477.0
2020-03-27,70467.8917442839,75659.0
2020-03-28,76106.76742718826,83904.0
2020-03-29,81952.27764876597,90328.0
2020-03-30,87982.48767629886,96141.0
2020-03-31,94172.20123421641,104287.0
2020-04-01,100493.35167957674,111700.0
2020-04-02,106915.50912100673,119290.0
2020-04-03,113406.48556712216,126569.0
2020-04-04,119933.01304811321,133258.0
2020-04-05,126461.46422226337,138796.0
2020-04-06,132958.58201381835,142469.0
2020-04-07,139392.18447996117,147735.0
2020-04-08,145731.812172405,153344.0
2020-04-09,151949.29267822238,159142.0
2020-04-10,158019.2007927124,163748.0
2020-04-11,163919.20166748547,168715.0
2020-04-12,169630.2720073233,172769.0
2020-04-13,175136.8020009545,175905.0
2020-04-14,180426.58679589233,179254.0
2020-04-15,185490.72147454,183951.0
2020-04-16,190323.4158049164,188373.0
2020-04-17,194921.74780416902,193065.0
2020-04-18,199188.95720274962,198019.0
2020-04-19,203230.70980894787,203173.0
2020-04-20,207051.05679208582,206787.0
2020-04-21,210655.50182156006,210449.0
2020-04-22,214050.7210954831,214240.0
2020-04-23,217244.3024612356,218984.0
2020-04-24,220244.50757158757,222499.0
2020-04-25,223060.06449687906,226387.0
2020-04-26,225699.98315572905,229176.0
2020-04-27,228173.39917199616,231759.0
2020-04-28,230489.44292204126,234750.0
2020-04-29,232657.13188886477,238196.0
2020-04-30,234685.28742278577,241354.0
2020-05-01,236582.46559371738,244644.0
2020-05-02,238356.9078358616,247136.0
2020-05-03,240016.50554182142,248721.0
2020-05-04,246283.143813028,249719.0
2020-05-05,251465.03173337944,251697.0
2020-05-06,255687.9924882008,254712.0
2020-05-07,259093.7773578505,257685.0
2020-05-08,261821.4982075435,260715.0
2020-05-09,263997.2043966168,263408.0
2020-05-10,268516.7389854596,267904.0
2020-05-11,270790.9654831877,268724.0
2020-05-12,271924.5357576957,270062.0
2020-05-13,272493.3828516238,271566.0
2020-05-14,272782.99851848546,272740.0
2020-05-15,272933.1114161183,274367.0
2020-05-16,273012.4284534247,
2020-05-17,273055.16607664543,
2020-05-18,273078.645048743,
2020-05-19,273091.7912222931,
2020-05-20,273099.2893010843,
2020-05-21,273103.6433091707,
2020-05-22,273106.21588737576,
2020-05-23,273107.76164029643,
2020-05-24,273107.99932799494,
2020-05-25,273108.20828560507,
2020-05-26,273108.3925772881,
2020-05-27,273108.5556203861,
2020-05-28,273108.70029812516,
2020-05-29,273108.8290516867,
2020-05-30,273108.9439548085,
2020-05-31,273109.04677489935,
2020-06-01,273109.1390230366,
2020-06-02,273109.2219951113,
2020-06-03,273109.29680577706,
2020-06-04,273109.3644165923,
2020-06-05,273109.42565938743,
2020-06-06,273109.48125573824,
2020-06-07,273109.5318332482,
2020-06-08,273109.5779392032,
2020-06-09,273109.62005205033,
2020-06-10,273109.6585910857,
2020-06-11,273109.6939246542,
2020-06-12,273109.72637707845,
2020-06-13,273109.75623456965,
2020-06-14,273109.7837502644,
2020-06-15,273109.8091485265,
2020-06-16,273109.83262863255,
2020-06-17,273109.8543679345,
2020-06-18,273109.87452459394,
2020-06-19,273109.8932399189,
2020-06-20,273109.9106404037,
2020-06-21,273109.9268394847,
2020-06-22,273109.94193907856,
2020-06-23,273109.95603090356,
2020-06-24,273109.96919764695,
2020-06-25,273109.9815139741,
2020-06-26,273109.9930474164,
2020-06-27,273110.0038591498,
2020-06-28,273110.01400467847,
2020-06-29,273110.02353443584,
2020-06-30,273110.032494316,
2020-07-01,273110.0409261426,
2020-07-02,273110.04886808014,
2020-07-03,273110.0563550059,
2020-07-04,273110.0634188332,
2020-07-05,273110.07008880225,
2020-07-06,273110.07639173866,
2020-07-07,273110.0823522821,
2020-07-08,273110.087993094,
2020-07-09,273110.0933350394,
2020-07-10,273110.0983973534,
2020-07-11,273110.10319778667,
2020-07-12,273110.1077527409,
2020-07-13,273110.11207738507,
2020-07-14,273110.1161857655,
