date,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
2020-02-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
2020-02-27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0
2020-02-28,8.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,10.0
2020-02-29,12.0,0.0,1.0,1.0,0.0,2.0,1.0,7.0,6.0,4.0,0.0,2.0,0.0,10.0,0.0,1.0,3.0,0.0,15.0
2020-03-01,12.0,0.0,1.0,10.0,0.0,2.0,3.0,7.0,15.0,6.0,0.0,2.0,0.0,29.0,0.0,1.0,9.0,1.0,15.0
2020-03-02,12.0,0.0,1.0,10.0,0.0,7.0,7.0,7.0,15.0,6.0,0.0,2.0,0.0,49.0,0.0,1.0,13.0,3.0,15.0
2020-03-03,12.0,0.0,2.0,10.0,0.0,8.0,12.0,7.0,15.0,6.0,1.0,5.0,0.0,70.0,0.0,3.0,17.0,7.0,19.0
2020-03-04,12.0,1.0,5.0,10.0,0.0,12.0,13.0,8.0,24.0,6.0,1.0,6.0,0.0,90.0,0.0,3.0,17.0,11.0,19.0
2020-03-05,21.0,6.0,5.0,10.0,0.0,13.0,15.0,11.0,24.0,6.0,3.0,6.0,0.0,137.0,0.0,3.0,45.0,29.0,30.0
2020-03-06,27.0,11.0,5.0,10.0,0.0,14.0,15.0,11.0,24.0,6.0,3.0,6.0,0.0,137.0,0.0,3.0,45.0,39.0,30.0
2020-03-07,34.0,11.0,7.0,12.0,0.0,21.0,15.0,17.0,49.0,6.0,5.0,8.0,1.0,175.0,0.0,3.0,70.0,55.0,37.0
2020-03-08,54.0,13.0,7.0,12.0,0.0,30.0,26.0,22.0,75.0,7.0,6.0,11.0,4.0,469.0,0.0,3.0,149.0,81.0,37.0
2020-03-09,71.0,38.0,22.0,12.0,0.0,40.0,39.0,25.0,124.0,8.0,22.0,13.0,9.0,782.0,0.0,12.0,195.0,144.0,50.0
2020-03-10,90.0,45.0,32.0,12.0,0.0,64.0,71.0,37.0,156.0,9.0,35.0,16.0,11.0,1024.0,0.0,46.0,225.0,179.0,65.0
2020-03-11,115.0,64.0,47.0,16.0,0.0,71.0,115.0,51.0,260.0,19.0,35.0,22.0,26.0,1388.0,0.0,73.0,346.0,205.0,76.0
2020-03-12,219.0,80.0,67.0,29.0,0.0,92.0,194.0,70.0,316.0,39.0,85.0,28.0,35.0,1990.0,2.0,130.0,417.0,243.0,94.0
2020-03-13,269.0,121.0,92.0,31.0,0.0,169.0,289.0,90.0,509.0,66.0,115.0,28.0,47.0,2940.0,3.0,146.0,521.0,278.0,130.0
2020-03-14,437.0,147.0,137.0,51.0,1.0,223.0,401.0,109.0,715.0,95.0,195.0,42.0,71.0,3544.0,8.0,183.0,630.0,300.0,409.0
2020-03-15,554.0,174.0,177.0,58.0,1.0,292.0,567.0,119.0,903.0,111.0,245.0,73.0,77.0,4165.0,8.0,274.0,630.0,312.0,409.0
2020-03-16,683.0,207.0,193.0,58.0,1.0,431.0,567.0,148.0,1394.0,153.0,292.0,92.0,97.0,4871.0,17.0,313.0,765.0,355.0,541.0
2020-03-17,859.0,226.0,242.0,68.0,1.0,668.0,675.0,181.0,1866.0,194.0,341.0,112.0,122.0,5637.0,20.0,386.0,973.0,419.0,726.0
2020-03-18,1008.0,281.0,292.0,83.0,1.0,868.0,801.0,220.0,2702.0,241.0,453.0,169.0,167.0,6777.0,23.0,482.0,1190.0,468.0,921.0
2020-03-19,1287.0,360.0,344.0,144.0,5.0,1147.0,1044.0,287.0,3270.0,297.0,578.0,203.0,204.0,7165.0,24.0,554.0,1465.0,497.0,1105.0
2020-03-20,1515.0,424.0,486.0,215.0,5.0,1466.0,1423.0,348.0,4203.0,354.0,739.0,246.0,240.0,8921.0,25.0,664.0,1725.0,564.0,1363.0
2020-03-21,1725.0,532.0,545.0,282.0,5.0,1744.0,1819.0,414.0,4704.0,384.0,915.0,331.0,296.0,9702.0,25.0,794.0,2097.0,654.0,1604.0
2020-03-22,1961.0,638.0,594.0,347.0,6.0,2055.0,2078.0,481.0,5925.0,493.0,1208.0,400.0,345.0,10575.0,28.0,886.0,2421.0,747.0,1901.0
