date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-02-20,209217.02134408453,2.0,0.0,209217.02134408453,2.0,0.0,2.0,2.0
2020-02-21,209216.04382742758,2.871819367720549,0.10569728919888935,209217.02134408453,2.0,0.0,2.0,2.9775166569194385
2020-02-22,209214.64021120424,4.123663983795633,0.25746889645855286,209217.02134408453,2.0,0.0,2.0,4.381132880254186
2020-02-23,209212.62476967578,5.921176070846726,0.4753983379116732,209217.02134408453,2.0,0.0,2.0,6.396574408758399
2020-02-24,209209.73083441093,8.502186804429162,0.788322869193937,209216.02134408453,3.0,0.0,3.0,9.290509673623099
2020-02-25,209205.5755314466,12.208164535070814,1.2376481028935546,209209.02134408453,10.0,0.0,10.0,13.44581263796437
2020-02-26,209199.60916660665,17.529353042162867,1.882824435761369,209203.02134408453,16.0,0.0,16.0,19.412177477924235
2020-02-27,209191.0425918062,25.16954411574278,2.809208162598827,209190.02134408453,29.0,0.0,29.0,27.97875227834161
2020-02-28,209178.7430007141,36.13899923327479,4.139344137158003,209176.02134408453,43.0,0.0,43.0,40.27834337043279
2020-02-29,209161.08448867724,51.88769947339975,6.049155933927652,209154.02134408453,65.0,0.0,65.0,57.9368554073274
2020-03-01,209135.7338566495,74.49631597622735,8.791171458844868,209106.02134408453,113.0,0.0,113.0,83.28748743507222
2020-03-02,209099.34384400144,106.94967293488718,12.727827148201053,209071.02134408453,148.0,0.0,148.0,119.67750008308823
2020-03-03,209047.11428249147,153.52786578912284,18.379195803906473,209025.02134408453,194.0,0.0,194.0,171.9070615930293
2020-03-04,208972.16533642862,220.36468185699715,26.49132579892246,208981.02134408453,238.0,0.0,238.0,246.8560076559196
2020-03-05,208864.6444881678,316.2428846152858,38.133971301441164,208855.02134408453,364.0,0.0,364.0,354.376855916727
2020-03-06,208710.45852801498,453.72271184256783,54.84010422700788,208833.02134408453,386.0,0.0,386.0,508.5628160695757
2020-03-07,208489.48204853354,650.7347375877725,78.80455796319683,208693.02134408453,526.0,0.0,526.0,729.5392955509694
2020-03-08,208173.0447191664,932.8108108090074,113.16581410909035,208229.02134408453,937.0,53.0,990.0,1045.9766249180977
2020-03-09,207720.44464874407,1336.1731144095222,162.40358093092917,207655.02134408453,1389.0,175.0,1564.0,1498.5766953404514
2020-03-10,207074.18722416606,1911.938763115542,232.89535680291146,207135.02134408453,1848.0,236.0,2084.0,2144.8341199184533
